scene_name,tile,platform,sensing_date,processing_baseline,product_uuid,esa_flag,failed_indicator,expected_reject,sensor_quality,geometric_quality,general_quality,format_correctness,radiometric_quality,degraded_anc_pct,degraded_msi_pct,nodata_pct,saturated_defective_pct,cloud_cover_pct,mask_defective_px,mask_nodata_px,mask_lost_packet_px,mask_saturated_px,source
S2B_MSIL1C_20240103T101329_N0510_R022_T32SPF_20240103T110304.SAFE,T32SPF,SENTINEL-2,2024-01-03T10:13:29.024000Z,,a9bc9cbc-fc27-469a-83b6-d74271d9cebb,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,43.30720046268,,,,,ESA_OLQC
S2A_MSIL1C_20240105T100411_N0510_R122_T32SPF_20240105T105017.SAFE,T32SPF,SENTINEL-2,2024-01-05T10:04:11.024000Z,,850e9b5e-1243-4f9a-8d42-d6888c0a2cf9,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,85.577323897399,,,,,ESA_OLQC
S2A_MSIL1C_20240108T101401_N0510_R022_T32SPF_20240108T120827.SAFE,T32SPF,SENTINEL-2,2024-01-08T10:14:01.024000Z,,f3ce8d9c-a366-409d-9446-b60c965e5b76,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,40.040332186384,,,,,ESA_OLQC
S2B_MSIL1C_20240110T100309_N0510_R122_T32SPF_20240110T105002.SAFE,T32SPF,SENTINEL-2,2024-01-10T10:03:09.024000Z,,e6e40f21-32aa-45bf-9a6e-ebf679668c01,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.953327958434,,,,,ESA_OLQC
S2B_MSIL1C_20240113T101309_N0510_R022_T32SPF_20240113T110023.SAFE,T32SPF,SENTINEL-2,2024-01-13T10:13:09.024000Z,,b8895c5e-cf7a-4055-8463-a5e00df4e8ca,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,7.51122466064,,,,,ESA_OLQC
S2A_MSIL1C_20240115T100341_N0510_R122_T32SPF_20240115T105032.SAFE,T32SPF,SENTINEL-2,2024-01-15T10:03:41.024000Z,,0e537ccf-c9bf-4745-a3dc-ad546cd748ef,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,54.601988712712,,,,,ESA_OLQC
S2A_MSIL1C_20240118T101331_N0510_R022_T32SPF_20240118T121139.SAFE,T32SPF,SENTINEL-2,2024-01-18T10:13:31.024000Z,,06f9f59b-ac8d-496e-a0f9-84c607046aaf,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,25.202529527726,,,,,ESA_OLQC
S2B_MSIL1C_20240120T100239_N0510_R122_T32SPF_20240120T104942.SAFE,T32SPF,SENTINEL-2,2024-01-20T10:02:39.024000Z,,67cea21b-19fb-45cc-aae0-25d6524afd45,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,37.647854519394,,,,,ESA_OLQC
S2B_MSIL1C_20240123T101229_N0510_R022_T32SPF_20240123T121348.SAFE,T32SPF,SENTINEL-2,2024-01-23T10:12:29.024000Z,,65d7646a-4c45-44cb-b4d3-e70fee7b0c7f,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,99.943498717561,,,,,ESA_OLQC
S2A_MSIL1C_20240125T100311_N0510_R122_T32SPF_20240125T104959.SAFE,T32SPF,SENTINEL-2,2024-01-25T10:03:11.024000Z,,0cc30d11-0738-4505-ba21-e83634f1bff9,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.109677804652,,,,,ESA_OLQC
