feature,passed_mean,failed_mean,passed_median,failed_median,p_value,effect_size,cohens_d
BlurFilter__dn_range,15661.589743589744,23877.833333333332,15268.0,23721.0,0.0005487989038754779,0.811965811965812,1.7249264176307557
TOAScalingFilter__max_dn,19730.625,24276.666666666668,19911.5,24939.0,0.08113830664021739,0.4458333333333333,0.8337263564183431
BlurFilter__laplacian_variance,75.51474571308185,34.93954583718257,36.57683537857183,21.92035417822326,0.15971693271749993,0.36752136752136755,-0.6708580623816922
StripeFilter__detrended_std,86.42816381035504,73.12112852758351,79.09251888758624,71.17383686665531,0.24729391872718137,0.3063063063063063,-0.6368912065638049
NoDataFilter__unique_values,9145.6,10632.0,9442.0,11395.0,0.34494143636169333,0.25,0.4595452224869615
TOAScalingFilter__unique_values,9145.6,10632.0,9442.0,11395.0,0.34494143636169333,0.25,0.4595452224869615
dn_p05,1489.625,1573.125,1420.0,1489.5,0.2803894900538678,0.25,0.34639818198160344
StripeFilter__peak_period_pixels,155.80868699097766,114.85411096256685,119.34782608695652,107.09659090909092,0.4080281602081982,0.21621621621621623,-0.4544450905531803
TOAScalingFilter__pct_above_ceiling,0.0007687958679759177,0.00016243450062428997,4.597447000823678e-06,0.00022556803744985002,0.46289054803864604,0.19166666666666665,-0.3858096592410571
dn_p25,1692.95,1837.75,1620.5,1673.0,0.4223894999613679,0.18437499999999996,0.33431576765193083
TOAScalingFilter__dn_p9999,9100.728192498977,10163.2635833323,8497.5,11596.7907499969,0.5132974171914713,0.17500000000000004,0.35329177970797704
MetadataFilter__cloud_cover,16.747738245471176,31.27050214620775,12.8926845056635,11.4870139485005,0.6084593300433662,0.11875000000000002,0.45031317442502256
NoDataFilter__total_nodata_ratio,0.4157995830305805,0.38330541510037014,0.7575913193718666,0.3785513858613608,0.6434726566185858,0.1166666666666667,-0.07919044443664587
NoiseFilter__signal_median,1979.1891891891892,1628.1666666666667,1630.0,1533.0,0.6740241562313108,0.11261261261261257,-0.6255724453871163
dn_range,3407.55,3884.75,2581.0,2752.0,0.6345513405555813,0.11250000000000004,0.20799529067906458
NoiseFilter__noise_std,2.3759765512234456,1.5881628493467967,1.2247449159622192,1.2071067690849304,0.7246938884616814,0.09459459459459452,-0.416521160817286
dn_skew,1.5115585519000887,1.6892671221867204,1.5436193943023682,1.8463781476020813,0.6938271259840698,0.09375,0.16026198580225698
dn_p95,4897.175,5457.875,3979.0,4341.0,0.714015694447565,0.08750000000000002,0.23552363015755629
TOAScalingFilter__min_dn,466.85,286.5,0.0,96.0,0.7894995820375462,0.06666666666666665,-0.3333430621879154
dn_iqr,1355.525,1853.375,1213.5,1171.0,0.8464464814371837,0.046875,0.3275108706172893
dn_p75,3048.475,3691.125,2852.5,2983.5,0.857292339830091,0.043749999999999956,0.36713049929557484
NoiseFilter__noise_std_ratio,0.0010438279399798813,0.00095078652763425,0.0007702798466198,0.0008331364952027501,0.9319673370782424,0.027027027027026973,-0.16817871426376968
NoDataFilter__unexpected_nodata_ratio,0.0013125319342006151,0.0,0.0,0.0,0.746885633390364,0.02499999999999991,-0.223606797749979
StripeFilter__periodic_power_ratio,0.017275658259205864,0.01839805683339315,0.015439761027582,0.017556130618813,0.9863796233023328,0.009009009009008917,0.22514698245937773
MissingBandsFilter__found_count,5.0,5.0,5.0,5.0,1.0,0.0,0.0
NoDataFilter__saturated_ratio,0.0,0.0,0.0,0.0,1.0,0.0,0.0
